,mobile_name,rating,RAM_and_ROM,size,cemera,battery,processor,price,discount,mobile_link,delevery_type,mobile_pic
10,"<div class=""KzDlHZ"">POCO C65 (Pastel Blue, 128 GB)</div>","<div class=""XQDdHH"">4.3<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.12 cm (6.74 inch) HD+ Display</li>","<li class=""J+igdf"">50MP + AI Lens + 2MP | 8MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Helio G85 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹6,999</div>",<span>36% off</span>,/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGVVTXZESSZY4W.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/u/8/c65-mzb0g8nin-poco-original-imagw6j2kp5t5jek.jpeg?q=70
11,"<div class=""KzDlHZ"">POCO C65 (Pastel Blue, 128 GB)</div>","<div class=""XQDdHH"">4.2<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.12 cm (6.74 inch) HD+ Display</li>","<li class=""J+igdf"">50MP + AI Lens + 2MP | 8MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Helio G85 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹7,499</div>",<span>37% off</span>,/poco-c65-pastel-blue-128-gb/p/itm496cf027e5826?pid=MOBGVVTXTQDGZ7JY&lid=LSTMOBGVVTXTQDGZ7JYJ1XDW1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_1_12&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGVVTXTQDGZ7JY.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/u/8/c65-mzb0g8nin-poco-original-imagw6j2kp5t5jek.jpeg?q=70
12,"<div class=""KzDlHZ"">REDMI 13C (Starfrost White, 128 GB)</div>","<div class=""XQDdHH"">4.2<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.12 cm (6.74 inch) HD+ Display</li>","<li class=""J+igdf"">50MP Rear Camera | 8MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Helio G85 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹7,699</div>",<span>35% off</span>,/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGWUHSZKWBZQWJ.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/f/a/-original-imahfk4xp4xcggyt.jpeg?q=70
13,"<div class=""KzDlHZ"">POCO C61 (Ethereal Blue, 64 GB)</div>","<div class=""XQDdHH"">4.2<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.04 cm (6.71 inch) HD+ Display</li>","<li class=""J+igdf"">8MP Rear Camera | 5MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Helio G36 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹6,499</div>",<span>27% off</span>,/poco-c61-ethereal-blue-64-gb/p/itmdb8902b0c9344?pid=MOBGYQ6BXH69VAJY&lid=LSTMOBGYQ6BXH69VAJYWCT1R1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGYQ6BXH69VAJY.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/f/l/-original-imagzcfj9vhf5dyq.jpeg?q=70
14,"<div class=""KzDlHZ"">REDMI 13C (Starshine Green, 128 GB)</div>","<div class=""XQDdHH"">4.2<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.12 cm (6.74 inch) HD+ Display</li>","<li class=""J+igdf"">50MP Rear Camera | 8MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Helio G85 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹8,499</div>",<span>39% off</span>,/redmi-13c-starshine-green-128-gb/p/itme7ab29fdab2f8?pid=MOBGW4HKWHMZ2XMD&lid=LSTMOBGW4HKWHMZ2XMDN8MXFX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGW4HKWHMZ2XMD.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/6/r/-original-imahfk4xenbzxwrh.jpeg?q=70
15,"<div class=""KzDlHZ"">POCO C65 (Matte Black, 128 GB)</div>","<div class=""XQDdHH"">4.3<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.12 cm (6.74 inch) HD+ Display</li>","<li class=""J+igdf"">50MP + AI Lens + 2MP | 8MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Helio G85 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹6,999</div>",<span>36% off</span>,/poco-c65-matte-black-128-gb/p/itm8ea3d87aa6c0c?pid=MOBGVVTXAFHYHDZS&lid=LSTMOBGVVTXAFHYHDZSK9U3D1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_16&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGVVTXAFHYHDZS.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/k/k/c65-mzb0g8rin-poco-original-imagw6gyhhu7hur5.jpeg?q=70
16,"<div class=""KzDlHZ"">POCO C61  - Locked with Airtel Prepaid (Ethereal Blue, 64 GB)</div>","<div class=""XQDdHH"">4.2<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.04 cm (6.71 inch) HD+ Display</li>","<li class=""J+igdf"">8MP Rear Camera | 5MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Helio G36 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹5,999</div>",<span>33% off</span>,/poco-c61-locked-airtel-prepaid-ethereal-blue-64-gb/p/itme95c6626cb9fd?pid=MOBH2N3FHBWZPMWY&lid=LSTMOBH2N3FHBWZPMWY9ACVGC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBH2N3FHBWZPMWY.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/z/r/-original-imah2qyrqdyuqma4.jpeg?q=70
17,"<div class=""KzDlHZ"">REDMI 13C (Stardust Black, 128 GB)</div>","<div class=""XQDdHH"">4.2<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.12 cm (6.74 inch) HD+ Display</li>","<li class=""J+igdf"">50MP Rear Camera | 8MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Helio G85 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹7,699</div>",<span>35% off</span>,/redmi-13c-stardust-black-128-gb/p/itm9b22752239e4d?pid=MOBGW4HKVU4ZGZFZ&lid=LSTMOBGW4HKVU4ZGZFZCHB6WV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGW4HKVU4ZGZFZ.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/e/a/-original-imahfk4xuk7ntphs.jpeg?q=70
18,"<div class=""KzDlHZ"">POCO X6 Neo 5G (Astral Black, 256 GB)</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">12 GB RAM | 256 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">16.94 cm (6.67 inch) Full HD+ Display</li>","<li class=""J+igdf"">108MP + 2MP | 16MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Dimensity 6080 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹14,999</div>",<span>31% off</span>,/poco-x6-neo-5g-astral-black-256-gb/p/itm92b6e8a77371b?pid=MOBGYQ6BAZHQGXKZ&lid=LSTMOBGYQ6BAZHQGXKZYNO2KY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGYQ6BAZHQGXKZ.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/l/0/x6-neo-5g-mzb0ggwin-poco-original-imagyxngbqmdcupq.jpeg?q=70
19,"<div class=""KzDlHZ"">vivo T3 Lite 5G (Vibrant Green, 128 GB)</div>","<div class=""XQDdHH"">4.4<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">16.66 cm (6.56 inch) Display</li>","<li class=""J+igdf"">50MP + 2MP | 8MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Dimensity 6300 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹11,499</div>",<span>25% off</span>,/vivo-t3-lite-5g-vibrant-green-128-gb/p/itm977c89a44d373?pid=MOBHFTYBA6V3RVZE&lid=LSTMOBHFTYBA6V3RVZE3H4WTW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_20&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBHFTYBA6V3RVZE.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/i/r/t3-lite-5g-v2356-vivo-original-imah27wmfgkergtx.jpeg?q=70
20,"<div class=""KzDlHZ"">REDMI 13C 5G (Startrail Silver, 128 GB)</div>","<div class=""XQDdHH"">4.3<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.12 cm (6.74 inch) HD+ Display</li>","<li class=""J+igdf"">50MP Rear Camera | 5MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Mediatek Dimensity 6100+ Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹10,499</div>",<span>25% off</span>,/redmi-13c-5g-startrail-silver-128-gb/p/itm54938652090ad?pid=MOBHY3B2EE7WXNHJ&lid=LSTMOBHY3B2EE7WXNHJBUYKBI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBHY3B2EE7WXNHJ.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/f/0/-original-imahfkf6uyxnvmcy.jpeg?q=70
21,"<div class=""KzDlHZ"">POCO M6 5G (Orion Blue, 64 GB)</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.12 cm (6.74 inch) HD+ Display</li>","<li class=""J+igdf"">50MP Rear Camera | 5MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Mediatek Dimensity 6100+ Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹8,499</div>",<span>29% off</span>,/poco-m6-5g-orion-blue-64-gb/p/itm219e2e342aaeb?pid=MOBH2MFGRGQWVTVG&lid=LSTMOBH2MFGRGQWVTVG6JVPVN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBH2MFGRGQWVTVG.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/v/b/-original-imagytcpqznwrvse.jpeg?q=70
22,"<div class=""KzDlHZ"">Infinix HOT 40i (Horizon Gold, 256 GB)</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">8 GB RAM | 256 GB ROM | Expandable Upto 2 TB</li>","<li class=""J+igdf"">16.76 cm (6.6 inch) HD+ Display</li>","<li class=""J+igdf"">50MP + AI Lens | 32MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Unisoc T606 Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹8,999</div>",<span>18% off</span>,/infinix-hot-40i-horizon-gold-256-gb/p/itma7412e2a212c6?pid=MOBGXZGHKMQ5TSBT&lid=LSTMOBGXZGHKMQ5TSBTCNZ27C&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGXZGHKMQ5TSBT.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/y/o/hot-40i-x6528-infinix-original-imagxquujpnngqgz.jpeg?q=70
23,"<div class=""KzDlHZ"">POCO M6 5G - Locked with Airtel Prepaid (Orion Blue, 128 GB)</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<li class=""J+igdf"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""J+igdf"">17.12 cm (6.74 inch) HD+ Display</li>","<li class=""J+igdf"">50MP Rear Camera | 5MP Front Camera</li>","<li class=""J+igdf"">5000 mAh Battery</li>","<li class=""J+igdf"">Mediatek Dimensity 6100+ Processor</li>","<div class=""Nx9bqj _4b5DiR"">₹8,249</div>",<span>36% off</span>,/poco-m6-5g-locked-airtel-prepaid-orion-blue-128-gb/p/itmb21d22a9a4a16?pid=MOBGYHSDBXEZDV3Z&lid=LSTMOBGYHSDBXEZDV3ZNUHUZ2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=9cd33902-aeb1-4aa6-9199-396c9be7dbd0.MOBGYHSDBXEZDV3Z.SEARCH&ppt=sp&ppn=sp&ssid=tdkwj44ysg0000001725629900424&qH=eb4af0bf07c16429,"<div class=""yiggsN"" style=""color: rgb(0, 0, 0); font-size: 12px; font-weight: 400;"">Free delivery</div>",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/i/7/-original-imagys8jfmstgyug.jpeg?q=70
